Country,Year,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
South Africa,2019,4.722,0.96,1.351,0.469,0.389,0.13,0.055
Albania,2019,4.719,0.947,0.848,0.874,0.383,0.178,0.027
Venezuela,2019,4.707,0.96,1.427,0.805,0.154,0.064,0.047
Cambodia,2019,4.7,0.574,1.122,0.637,0.609,0.232,0.062
Palestinian Territories,2019,4.696,0.657,1.247,0.672,0.225,0.103,0.066
Senegal,2019,4.681,0.45,1.134,0.571,0.292,0.153,0.072
Somalia,2019,4.668,0,0.698,0.268,0.559,0.243,0.27
Namibia,2019,4.639,0.879,1.313,0.477,0.401,0.07,0.056
Niger,2019,4.628,0.138,0.774,0.366,0.318,0.188,0.102
Burkina Faso,2019,4.587,0.331,1.056,0.38,0.255,0.177,0.113
Armenia,2019,4.559,0.85,1.055,0.815,0.283,0.095,0.064
Iran,2019,4.548,1.1,0.842,0.785,0.305,0.27,0.125
Guinea,2019,4.534,0.38,0.829,0.375,0.332,0.207,0.086
Georgia,2019,4.519,0.886,0.666,0.752,0.346,0.043,0.164
Gambia,2019,4.516,0.308,0.939,0.428,0.382,0.269,0.167
Kenya,2019,4.509,0.512,0.983,0.581,0.431,0.372,0.053
Mauritania,2019,4.49,0.57,1.167,0.489,0.066,0.106,0.088
Mozambique,2019,4.466,0.204,0.986,0.39,0.494,0.197,0.138
Tunisia,2019,4.461,0.921,1,0.815,0.167,0.059,0.055
Bangladesh,2019,4.456,0.562,0.928,0.723,0.527,0.166,0.143
Iraq,2019,4.437,1.043,0.98,0.574,0.241,0.148,0.089
Congo (Kinshasa),2019,4.418,0.094,1.125,0.357,0.269,0.212,0.053
Mali,2019,4.39,0.385,1.105,0.308,0.327,0.153,0.052
Sierra Leone,2019,4.374,0.268,0.841,0.242,0.309,0.252,0.045
Sri Lanka,2019,4.366,0.949,1.265,0.831,0.47,0.244,0.047
Myanmar,2019,4.36,0.71,1.181,0.555,0.525,0.566,0.172
Chad,2019,4.35,0.35,0.766,0.192,0.174,0.198,0.078
Ukraine,2019,4.332,0.82,1.39,0.739,0.178,0.187,0.01
Ethiopia,2019,4.286,0.336,1.033,0.532,0.344,0.209,0.1
Swaziland,2019,4.212,0.811,1.149,0,0.313,0.074,0.135
Uganda,2019,4.189,0.332,1.069,0.443,0.356,0.252,0.06
Egypt,2019,4.166,0.913,1.039,0.644,0.241,0.076,0.067
Zambia,2019,4.107,0.578,1.058,0.426,0.431,0.247,0.087
Togo,2019,4.085,0.275,0.572,0.41,0.293,0.177,0.085
India,2019,4.015,0.755,0.765,0.588,0.498,0.2,0.085
Liberia,2019,3.975,0.073,0.922,0.443,0.37,0.233,0.033
Comoros,2019,3.973,0.274,0.757,0.505,0.142,0.275,0.078
Madagascar,2019,3.933,0.274,0.916,0.555,0.148,0.169,0.041
Lesotho,2019,3.802,0.489,1.169,0.168,0.359,0.107,0.093
Burundi,2019,3.775,0.046,0.447,0.38,0.22,0.176,0.18
Zimbabwe,2019,3.663,0.366,1.114,0.433,0.361,0.151,0.089
Haiti,2019,3.597,0.323,0.688,0.449,0.026,0.419,0.11
Botswana,2019,3.488,1.041,1.145,0.538,0.455,0.025,0.1
Syria,2019,3.462,0.619,0.378,0.44,0.013,0.331,0.141
Malawi,2019,3.41,0.191,0.56,0.495,0.443,0.218,0.089
Yemen,2019,3.38,0.287,1.163,0.463,0.143,0.108,0.077
Rwanda,2019,3.334,0.359,0.711,0.614,0.555,0.217,0.411
Tanzania,2019,3.231,0.476,0.885,0.499,0.417,0.276,0.147
Afghanistan,2019,3.203,0.35,0.517,0.361,0,0.158,0.025
Central African Republic,2019,3.083,0.026,0,0.105,0.225,0.235,0.035
South Sudan,2019,2.853,0.306,0.575,0.295,0.01,0.202,0.091
Finland,2020,7.808700085,10.63926697,0.954329729,71.9008255,0.949172199,-0.059482019,0.195444584
Denmark,2020,7.645599842,10.77400112,0.955990791,72.40250397,0.951444268,0.066201776,0.168489456
Switzerland,2020,7.559899807,10.97993279,0.942846596,74.10244751,0.921336651,0.105911039,0.303728431
Iceland,2020,7.504499912,10.77255917,0.974669576,73,0.948891878,0.246944219,0.711709738
Norway,2020,7.487999916,11.08780384,0.952486575,73.20078278,0.955750287,0.13453263,0.263218194
Netherlands,2020,7.448900223,10.81271172,0.93913883,72.30091858,0.908547819,0.20761244,0.364717126
Sweden,2020,7.353499889,10.75879383,0.926311195,72.60076904,0.939144194,0.111614622,0.250880182
New Zealand,2020,7.299600124,10.50094318,0.949118972,73.20262909,0.936217487,0.191598073,0.22113885
Austria,2020,7.294199944,10.7428236,0.928045869,73.00250244,0.899989486,0.085429221,0.499954879
Luxembourg,2020,7.237500191,11.45068073,0.906912208,72.59999847,0.90563643,-0.004620588,0.367084295
Canada,2020,7.23210001,10.69236851,0.927176654,73.60160065,0.933913231,0.124770768,0.390843362
Australia,2020,7.222799778,10.72059631,0.944854617,73.60453796,0.915431738,0.19046016,0.41516912
United Kingdom,2020,7.164500237,10.60013485,0.93668282,72.30160522,0.834743679,0.263732493,0.435915917
Israel,2020,7.128600121,10.41752529,0.913571239,73.20025635,0.747580588,0.10259372,0.78085506
Costa Rica,2020,7.121399879,9.658156395,0.901545942,71.29985046,0.934738934,-0.10242971,0.786332428
Ireland,2020,7.093699932,11.16097832,0.942081571,72.30078888,0.886982977,0.145784974,0.357184172
Germany,2020,7.075799942,10.7328186,0.898874462,72.20201874,0.867371082,0.080179386,0.456422031
United States,2020,6.939599991,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316
Czech Republic,2020,6.910900116,10.40416336,0.914430678,70.04793549,0.818537354,-0.230861515,0.85844624
Belgium,2020,6.863500118,10.6736393,0.911632538,72.00164795,0.813582063,-0.078691199,0.612297952
United Arab Emirates,2020,6.790800095,11.1099987,0.849181116,67.08278656,0.941345513,0.123450845,0.594502211
Malta,2020,6.772799969,10.53383827,0.93037951,72.19999695,0.924911439,0.214965805,0.658547282
France,2020,6.663799763,10.58422279,0.937103748,73.80193329,0.825467646,-0.130641967,0.583521128
Mexico,2020,6.465000153,9.797797203,0.838665426,68.29902649,0.858709276,-0.175266623,0.806821585
Taiwan Province of China,2020,6.45539999,10.77568531,0.894309103,69.59999847,0.77153033,-0.073198698,0.73188293
Uruguay,2020,6.440100193,9.948192596,0.92281127,69.00254822,0.892395437,-0.101103112,0.635994136
Saudi Arabia,2020,6.406499863,10.79781246,0.874067068,66.30514526,0.854191244,-0.168695062,0.682619512
Spain,2020,6.400899887,10.46292686,0.921125412,74.40270996,0.751989543,-0.050961714,0.765859902
Guatemala,2020,6.398900032,8.924805641,0.816621482,64.8089447,0.908147573,-0.042938665,0.783237457
Italy,2020,6.38740015,10.48183632,0.889878571,73.60168457,0.66465199,-0.043460999,0.873404682
Singapore,2020,6.377099991,11.39552116,0.910268962,76.80458069,0.926645339,0.029879224,0.109784193
Brazil,2020,6.375599861,9.56643486,0.896723807,66.48016357,0.799804807,-0.101812392,0.770601273
Slovenia,2020,6.363399982,10.39232254,0.939575672,71.1029892,0.936142623,-0.080603383,0.817071021
El Salvador,2020,6.34829998,8.909075737,0.806092262,66.10826111,0.833805263,-0.121072978,0.754319906
Kosovo,2020,6.325200081,9.204429626,0.820726514,63.88555527,0.861535907,0.190933764,0.922328293
Panama,2020,6.304800034,10.03423405,0.902094483,69.60301208,0.880366504,-0.153927714,0.851588905
Slovakia,2020,6.280600071,10.34774971,0.922493756,68.90634155,0.749952674,-0.124409303,0.918096125
Uzbekistan,2020,6.257599831,8.740371704,0.926595807,65.10757446,0.974998116,0.248427153,0.501497388
Chile,2020,6.228499889,10.0320549,0.879713595,69.90061951,0.744896293,-0.065668367,0.838239431
Bahrain,2020,6.227300167,10.67638016,0.876342118,68.5,0.905855775,0.13372919,0.7393471
Lithuania,2020,6.215499878,10.34362602,0.926107109,67.29407501,0.747381449,-0.219725296,0.809583843
Trinidad and Tobago,2020,6.191899776,10.26000214,0.91529417,63.5,0.857907116,0.000526841,0.912230611
Poland,2020,6.186299801,10.26512432,0.874257445,69.31113434,0.862055779,-0.205084071,0.686927021
Colombia,2020,6.163400173,9.500369072,0.884440243,67.69958496,0.836179912,-0.161235645,0.86457181
Cyprus,2020,6.15899992,10.40570259,0.805996239,73.70222473,0.779858291,0.043731496,0.856271744
